Hub	BAM	BED	BigBed	BigWig	CRAM	VCFTabix	
SRP029606	0	0	0	0	1	0	
SRP005965	0	0	0	0	6	0	
ERP009837	0	0	0	0	30	0	
Smith Lab Public Hub	0	0	416	479	0	0	
SRP052759	0	0	0	0	6	0	
SRP040809	0	0	0	0	2	0	
SRP018831	0	0	0	0	11	0	
SRP017191	0	0	0	0	6	0	
SRP007424	0	0	0	0	10	0	
SRP050577	0	0	0	0	144	0	
SRP047297	0	0	0	0	24	0	
SRP038107	0	0	0	0	3	0	
SRP061570	0	0	0	0	10	0	
SRP048197	0	0	0	0	28	0	
SRP029598	0	0	0	0	32	0	
SRP040280	0	0	0	0	2	0	
SRP042625	0	0	0	0	4	0	
SRP067853	0	0	0	0	10	0	
SRP035586	0	0	0	0	3	0	
SRP031889	0	0	0	0	16	0	
SRP059860	0	0	0	0	4	0	
SRP010960	0	0	0	0	8	0	
SRP035348	0	0	0	0	16	0	
DRP000448	0	0	0	0	1	0	
SRP019997	0	0	0	0	6	0	
DRP001015	0	0	0	0	3	0	
SRP022148	0	0	0	0	5	0	
SRP043103	0	0	0	0	27	0	
SRP010680	0	0	0	0	58	0	
SRP009369	0	0	0	0	2	0	
SRP045478	0	0	0	0	24	0	
SRP050410	0	0	0	0	4	0	
SRP035332	0	0	0	0	6	0	
SRP047434	0	0	0	0	8	0	
SRP009313	0	0	0	0	12	0	
SRP045061	0	0	0	0	12	0	
SRP042060	0	0	0	0	6	0	
SRP041782	0	0	0	0	2	0	
ERP011069	0	0	0	0	108	0	
SRP061276	0	0	0	0	31	0	
SRP062204	0	0	0	0	2	0	
ERP002617	0	0	0	0	4	0	
SRP050450	0	0	0	0	30	0	
SRP041932	0	0	0	0	30	0	
ERP011293	0	0	0	0	1	0	
McGill_EMC_Hub	0	0	202	983	0	0	
DRP000315	0	0	0	0	20	0	
SRP028684	0	0	0	0	8	0	
SRP058964	0	0	0	0	4	0	
SRP017476	0	0	0	0	1	0	
SRP065615	0	0	0	0	3	0	
SRP029372	0	0	0	0	7	0	
ERP009123	0	0	0	0	18	0	
ERP005391	0	0	0	0	3	0	
SRP060670	0	0	0	0	12	0	
SRP063676	0	0	0	0	40	0	
SRP035440	0	0	0	0	8	0	
SRP053347	0	0	0	0	24	0	
SRP051007	0	0	0	0	5	0	
SRP048474	0	0	0	0	9	0	
ERP008783	0	0	0	0	1	0	
SRP048616	0	0	0	0	9	0	
SRP029637	0	0	0	0	8	0	
SRP008486	0	0	0	0	2	0	
ERP010718	0	0	0	0	3	0	
SRP041709	0	0	0	0	25	0	
SRP008128	0	0	0	0	2	0	
SRP002417	0	0	0	0	1	0	
SRP051531	0	0	0	0	24	0	
xPADHub	0	0	0	32	0	0	
SRP062127	0	0	0	0	4	0	
SRP057498	0	0	0	0	8	0	
ERP008764	0	0	0	0	1	0	
SRP052310	0	0	0	0	8	0	
SRP024292	0	0	0	0	3	0	
SRP037984	0	0	0	0	13	0	
ERP004714	0	0	0	0	57	0	
SRP041167	0	0	0	0	1	0	
ERP004388	0	0	0	0	6	0	
SRP052520	0	0	0	0	4	0	
SRP050133	0	0	0	0	30	0	
SRP034619	0	0	0	0	4	0	
SRP015990	0	0	0	0	29	0	
SRP049368	0	0	0	0	6	0	
SRP040682	0	0	0	0	8	0	
SRP040813	0	0	0	0	8	0	
SRP014211	0	0	0	0	8	0	
SRP059734	0	0	0	0	48	0	
DRP001330	0	0	0	0	12	0	
SRP010481	0	0	0	0	6	0	
SRP043554	0	0	0	0	6	0	
