Hub	BAM	BED	BigBed	BigWig	CRAM	VCFTabix	
SRP008469	0	0	0	0	10	0	
SRP011893	0	0	0	0	1	0	
SRP011480	0	0	0	0	107	0	
SRP009893	0	0	0	0	8	0	
SRP006463	0	0	0	0	14	0	
SRP052276	0	0	0	0	46	0	
SRP021196	0	0	0	0	28	0	
ERP004161	0	0	0	0	6	0	
SRP056642	0	0	0	0	12	0	
SRP055458	0	0	0	0	15	0	
SRP013490	0	0	0	0	2	0	
SRP008259	0	0	0	0	6	0	
SRP051400	0	0	0	0	4	0	
ERP001184	0	0	0	0	5	0	
ERP010262	0	0	0	0	9	0	
SRP029896	0	0	0	0	4	0	
DRP001140	0	0	0	0	6	0	
ERP004285	0	0	0	0	14	0	
SRP007511	0	0	0	0	6	0	
ERP008781	0	0	0	0	1	0	
SRP022162	0	0	0	0	6	0	
SRP050088	0	0	0	0	6	0	
SRP032924	0	0	0	0	2	0	
DRP001412	0	0	0	0	6	0	
SRP067916	0	0	0	0	5	0	
SRP028878	0	0	0	0	3	0	
SRP026160	0	0	0	0	3	0	
SRP051134	0	0	0	0	4	0	
SRP041156	0	0	0	0	3	0	
SRP004884	0	0	0	0	7	0	
SRP021005	0	0	0	0	2	0	
SRP030646	0	0	0	0	18	0	
SRP053277	0	0	0	0	12	0	
ERP000954	0	0	0	0	2	0	
SRP032854	0	0	0	0	10	0	
SRP018110	0	0	0	0	5	0	
SRP056334	0	0	0	0	2	0	
SRP032274	0	0	0	0	8	0	
SRP051659	0	0	0	0	36	0	
DRP002726	0	0	0	0	6	0	
SRP028843	0	0	0	0	18	0	
SRP066448	0	0	0	0	4	0	
SRP065789	0	0	0	0	2	0	
SRP031872	0	0	0	0	16	0	
